
Year,Month,tmax,tmin,ppt
1982,6,23.62343,6.49317,32.05903
1982,7,29.39164,10.24416,13.67344
1982,8,31.49357,10.57364,5.65495
1982,9,23.28424,6.25491,40.39293
1982,10,16.95982,0.33615,39.59987
1982,11,8.28862,-4.86211,39.50625
1982,12,4.69956,-6.59201,29.73472
1983,1,6.72437,-5.17385,27.26363
1983,2,7.7285,-3.17434,38.39531
1983,3,8.97578,-1.35754,51.31675
1983,4,11.43362,-2.2726,27.92717
1983,5,19.52913,2.14568,13.83381
1983,6,23.64795,6.02112,22.29909
1983,7,28.65108,8.28213,6.6013
1983,8,29.88946,11.6996,52.98611
1983,9,26.28991,6.73066,25.72031
1983,10,20.02552,2.42923,16.15812
1983,11,9.50344,-1.53037,62.7115
1983,12,4.71217,-4.07913,82.31411
1984,1,2.60259,-8.19001,5.75139
1984,2,6.40041,-5.95408,17.5697
1984,3,11.36261,-2.73583,22.76641
1984,4,12.36247,-1.92274,21.72027
1984,5,20.85222,3.67728,15.60642
1984,6,22.97371,5.01076,29.11345
1984,7,31.84245,11.73679,18.16819
1984,8,31.32443,11.24127,14.89865
1984,9,26.38352,6.13626,7.53542
1984,10,14.43296,-0.09019,36.70135
1984,11,8.75849,-2.3947,53.09523
1984,12,3.48719,-9.54863,9.27609
1985,1,1.80971,-10.98414,11.73394
1985,2,5.31559,-9.24476,13.81819
1985,3,8.56605,-5.50627,22.44032
1985,4,18.66473,-0.4489,5.69657
1985,5,21.04682,2.1961,7.33767
1985,6,27.80975,7.95164,3.74132
1985,7,32.92842,12.2842,6.18342
1985,8,30.57215,8.5212,1.67695
1985,9,22.00233,4.53785,29.77413
1985,10,18.44322,-0.19357,8.95664
1985,11,6.5226,-6.73603,61.50109
1985,12,4.07207,-7.41661,23.49518
1986,1,9.10886,-2.77065,18.30143
1986,2,9.31248,-2.02543,58.37895
1986,3,14.21311,-0.67593,22.40069
1986,4,14.94329,-0.69799,20.10477
1986,5,20.81013,2.33178,20.06311
1986,6,28.41434,8.28737,6.85386
1986,7,29.75589,9.79413,4.49935
1986,8,33.30672,11.86155,4.5799
1986,9,21.41556,4.48403,32.02956
1986,10,19.61873,0.61381,6.7421
1986,11,13.47479,-3.86603,5.61931
1986,12,7.25135,-8.11507,6.1092
1987,1,4.12955,-9.1583,17.20434
1987,2,7.68056,-5.78217,21.6342
1987,3,10.27355,-2.93395,26.84284
1987,4,19.99673,0.23455,17.47973
1987,5,21.31796,5.13659,54.72609
1987,6,27.13091,7.78302,24.07765
1987,7,28.81384,8.90548,9.56732
1987,8,31.86354,10.47343,0.70734
1987,9,29.15165,6.3302,0.10056
1987,10,23.23679,2.47141,15.17995
1987,11,11.04657,-2.49192,22.1855
1987,12,4.31997,-7.40147,29.5332
1988,1,3.54975,-8.69163,35.33073
1988,2,9.23927,-6.42068,10.34115
1988,3,12.40299,-4.1662,5.34067
1988,4,16.37853,0.40996,45.81832
1988,5,19.79444,2.04673,17.74123
1988,6,26.17348,7.96842,16.0865
1988,7,33.50785,12.29764,4.46406
1988,8,32.48547,10.84625,3.04705
1988,9,27.33735,5.35645,5.02925
1988,10,25.00314,2.78333,0.61102
1988,11,9.82398,-1.88837,56.9322
1988,12,4.83937,-8.60155,19.43464
1989,1,2.57762,-11.29039,7.62188
1989,2,2.91448,-9.90604,17.79918
1989,3,11.28457,-1.22993,33.74679
1989,4,18.53051,0.6344,8.3908
1989,5,19.66252,2.76587,23.18902
1989,6,26.29328,7.33951,19.45395
1989,7,32.67906,10.48507,0.38364
1989,8,29.33123,9.5059,25.04627
1989,9,26.26445,6.0961,30.5533
1989,10,18.50439,0.76204,17.99436
1989,11,12.7884,-5.1893,20.20582
1989,12,8.164,-8.5211,3.3309
1990,1,6.60604,-6.84311,19.83325
1990,2,4.52576,-9.20201,18.59453
1990,3,12.97602,-3.37503,13.96736
1990,4,18.50382,2.18814,38.13806
1990,5,18.63722,2.51706,31.84974
